Strategy,P(C|CC),P(C|CD),P(C|DC),P(C|DD)
1,N/A,N/A,N/A,N/A
10,N/A,N/A,N/A,N/A
11,N/A,N/A,N/A,N/A
12,N/A,N/A,N/A,N/A
13,N/A,N/A,N/A,N/A
14,N/A,N/A,N/A,N/A
15,N/A,N/A,N/A,N/A
16,N/A,N/A,N/A,N/A
17,N/A,N/A,N/A,N/A
18,N/A,N/A,N/A,N/A
19,N/A,N/A,N/A,N/A
2,N/A,N/A,N/A,N/A
21,N/A,N/A,N/A,N/A
22,N/A,N/A,N/A,N/A
23,N/A,N/A,N/A,N/A
26,N/A,N/A,N/A,N/A
3,N/A,N/A,N/A,N/A
4,N/A,N/A,N/A,N/A
5,N/A,N/A,N/A,N/A
6,N/A,N/A,N/A,N/A
7,N/A,N/A,N/A,N/A
8,N/A,N/A,N/A,N/A
9,N/A,N/A,N/A,N/A
Alternator,0.000,0.000,0.977,0.968
Bayesian,0.993,0.019,0.798,0.080
Gemini,0.981,0.017,0.128,0.122
GenerousTFT,1.000,0.055,0.945,0.182
Gradual,0.994,0.035,0.571,0.750
GrimTrigger,0.994,0.000,0.000,0.036
OpenAI,0.995,0.185,0.559,0.160
Prober,0.155,0.010,0.926,0.202
Random,0.527,0.444,0.472,0.552
SuspiciousTFT,1.000,0.039,0.993,0.010
TitForTat,0.998,0.032,0.984,0.000
WinStayLoseShift,0.998,0.030,0.984,0.000
